russian_title,english_title,director_name_rus,year
Нарушая запреты,Tra(sgre)dire,Тинто Брасс,2000
Электрошок,Shocker,Уэс Крэйвен,1989
Воспоминания об убийстве,Salinui chueok,Пон Джун-хо,2003
Призрачный мир,Ghost World,Терри Цвигофф,2001
8 с половиной,8½,Федерико Феллини,1963
Максимальное ускорение,Maximum Overdrive,Стивен Кинг,1986
Декодер,Decoder,Муша,1984
Жуть,Spookies,Эрика Хевенс,1985
Пробуждение,Awakenings,Пенни Маршалл,1990
И никого не стало (мини-сериал),And Then There Were None,Крэйг Вивейрос,2015
Мальчик,Boy,Тайка Вайтити,2010
Древо жизни,The Tree of Life,Терренс Малик,2010
Последнее танго в Париже,Ultimo tango a Parigi,Бернардо Бертолуччи,1972
Синдбад,Szindbád,Золтан Хусарик,1971
Сомнение,Doubt,Джон Патрик Шэнли,2008
Андалузский пес,Un chien andalou,Луис Бунюэль,1929
Пространство (сериал),The Expanse (2015 – 2022) 43 мин.,Брек Эйснер,
Четвертый мужчина,De vierde man,Пол Верховен,1983
Tenacious D: Медиатор судьбы,Tenacious D in The Pick of Destiny,Лайам Линч,2006
Лок,Locke,Стивен Найт,2013
Ведьма из Блэр: Новая глава,Blair Witch,Адам Вингард,2016
Мешки для трупов,Body Bags,Джон Карпентер,1993
На страже смерти,Deathwatch,М. Дж. Бассетт,2002
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Стэнли Кубрик,1963
Фантазм 5,Phantasm: Ravager,Дэвид Хартман,2016
Мир Дикого Запада,Westworld,Майкл Крайтон,1973
Пятая печать,Az ötödik pecsét,Золтан Фабри,1976
Джорджино,Giorgino,Лоран Бутонна,1994
Барака,Baraka,Рон Фрике,1992
Священный дым,Holy Smoke,Джейн Кэмпион,1999
Ритуал,Riten,Ингмар Бергман,1969
Тит – правитель Рима,Titus,Джули Тэймор,1999
Сотня (сериал),The 100 (2014 – 2020) 43 мин.,Дин Уайт,
Один гигантский прыжок,1 Giant Leap,Дункан Бриджман,2002
"Хиросима, моя любовь",Hiroshima mon amour,Ален Рене,1959
Киногид извращенца,The Pervert's Guide to Cinema,Софи Файнс,2006
Поколение игры «Doom»,The Doom Generation,Грегг Араки,1995
Смертный приговор,Death Sentence,Джеймс Ван,2007
Танец реальности,La danza de la realidad,Алехандро Ходоровски,2013
Знаки,Signs,М. Найт Шьямалан,2002
Внеземное эхо,Earth to Echo,Дэйв Грин,2014
Балбесы,The Goonies,Ричард Доннер,1985
Инопланетянин,E.T. the Extra-Terrestrial,Стивен Спилберг,1982
В погоне за Эми,Chasing Amy,Кевин Смит,1996
2001 год: Космическая одиссея,2001: A Space Odyssey,Стэнли Кубрик,1968
Рассекая волны,Breaking the Waves,Ларс фон Триер,1996
Дорога перемен,Revolutionary Road,Сэм Мендес,2008
Ведьмы,The Witches,Николас Роуг,1989
Тёмный кристалл,The Dark Crystal,Джим Хенсон,1982
Взрослый мир,Adult World,Скотт Коффи,2013
Законопослушный гражданин,Law Abiding Citizen,Ф. Гэри Грей,2009
Полночное плавание,The Midnight Swim,Сара Адина,2014
Детонатор,Primer,Шейн Каррут,2004
Кровавый чай и красная ниточка,Blood Tea and Red String,Кристиан Седжавски,2006
Сибирь. Монамур,(2011) 102 мин.,Вячеслав Росс,
Седьмой континент,Der siebente Kontinent,Михаэль Ханеке,1989
Мандерлей,Manderlay,Ларс фон Триер,2005
Воплощение страха (сериал),Fear Itself (2008 – 2009) 43 мин.,Брэд Андерсон,
Мужчина ищет женщину (сериал),Man Seeking Woman (2015 – 2017) 21 мин.,Майкл Даус,
Миллион лет до нашей эры,RRRrrrr!!!,Ален Шаба,2004
Ошибка времени,Time Lapse,Брэдли Кинг,2014
Поля смерти,The Killing Fields,Роланд Жоффе,1984
Жить,(2011) 119 мин.,Василий Сигарев,
Мир будущего,World of Tomorrow,Дон Херцфельд,2015
Башня ужаса,Tower of Terror,Д.Дж. МакХейл,1997
Контакт,Contact,Роберт Земекис,1997
На последнем берегу,On the Beach,Рассел Малкэй,2000
Хотел бы я быть здесь,Wish I Was Here,Зак Брафф,2014
Обитель проклятых,Stonehearst Asylum,Брэд Андерсон,2014
"Поймай меня, если сможешь",Catch Me If You Can,Стивен Спилберг,2002
Город потерянных детей,La cité des enfants perdus,Марк Каро,1995
Дискосвиньи,Disco Pigs,Кёрстен Шеридан,2001
"Беги, толстяк, беги",Run Fatboy Run,Дэвид Швиммер,2007
Хорошие вибрации,Good Vibrations,Лиза Баррос Д’Са,2012
Вершина озера (сериал),Top of the Lake (2013 – 2017) 60 мин.,Джейн Кэмпион,
Начинающие,Beginners,Майк Миллс,2010
Ищу друга на конец света,Seeking a Friend for the End of the World,Лорин Скафария,2011
Дитя человеческое,Children of Men,Альфонсо Куарон,2006
Аптечный ковбой,Drugstore Cowboy,Гас Ван Сент,1989
Охотник,The Hunter,Дэниэл Неттхейм,2011
Двухсотлетний человек,Bicentennial Man,Крис Коламбус,1999
Ночной портье,Il portiere di notte,Лилиана Кавани,1973
Сосны (сериал),Wayward Pines (2015 – 2016) 44 мин.,Джефф Т. Томас,
Подземка,Subway,Люк Бессон,1985
Секрет Зоар,(2015) 124 мин.,Владэк Занковски,
Дорога в ад,Highway to Hell,Ате де Йонг,1991
Элвис и Анабелль,Elvis and Anabelle,Уилл Гейджер,2007
Студия звукозаписи «Берберян»,Berberian Sound Studio,Питер Стриклэнд,2011
Змей и радуга,The Serpent and the Rainbow,Уэс Крэйвен,1987
Дитя тьмы,Orphan,Жауме Кольет-Серра,2009
Остаться в живых,Fritt vilt,Роар Утхауг,2006
Вакансия на жертву,Vacancy,Нимрод Антал,2007
Искатели могил,Grave Encounters,Колин Минихан,2010
Убийство (сериал),The Killing (2011 – 2014) 43 мин.,Эдвард Бьянчи,
21 грамм,21 Grams,Алехандро Гонсалес Иньярриту,2003
Гравитация,Gravity,Альфонсо Куарон,2013
Иллюзия обмана,Now You See Me,Луи Летерье,2013
Иуда,(2013) 107 мин.,Андрей Богатырев,
Крысятник,Sitcom,Франсуа Озон,1997
Пока свет не заберёт нас,Until the Light Takes Us,Aaron Aites,2008
Останься со мной,Stand by Me,Роб Райнер,1986
Убей своих любимых,Kill Your Darlings,Джон Крокидас,2013
Микрокосмос,Microcosmos: Le peuple de l'herbe,Клод Нуридзани,1996
